,name,bonus,goals,assists,minutes,penalties_missed,penalties_saved,clean_sheets,points,reds,yellows,team,position,cost
0,Mesut Özil,0,0,0,0,0,0,0,0,0,0,ARS,MID,67
1,Sokratis Papastathopoulos,0,0,0,0,0,0,0,0,0,0,ARS,DEF,48
2,David Luiz Moreira Marinho,0,1,0,1396,0,0,3,41,1,1,ARS,DEF,54
3,Pierre-Emerick Aubameyang,11,10,3,2330,0,0,10,131,0,2,ARS,MID,113
4,Cédric Soares,3,0,1,744,0,0,2,28,0,1,ARS,DEF,46
5,Alexandre Lacazette,21,13,3,1916,0,0,7,129,0,3,ARS,FWD,84
6,Shkodran Mustafi,0,0,0,45,0,0,0,3,0,0,ARS,DEF,50
7,Bernd Leno,11,0,0,3131,0,1,11,131,1,0,ARS,GKP,50
8,Granit Xhaka,1,1,2,2519,0,0,10,70,1,7,ARS,MID,52
9,Pablo Marí,1,0,0,900,0,0,4,34,0,2,ARS,DEF,44
10,Héctor Bellerín,17,1,3,2089,0,0,7,94,0,8,ARS,DEF,50
11,Calum Chambers,3,0,3,751,0,0,2,36,0,0,ARS,DEF,45
12,Sead Kolasinac,0,0,0,90,0,0,0,2,0,0,ARS,DEF,48
13,Rob Holding,10,0,1,2557,0,0,11,105,0,2,ARS,DEF,43
14,Kieran Tierney,4,1,4,2299,0,0,8,96,0,4,ARS,DEF,52
15,Nicolas Pépé,11,10,3,1606,0,0,4,114,1,1,ARS,MID,77
16,Lucas Torreira,0,0,0,0,0,0,0,0,0,0,ARS,MID,47
17,Reiss Nelson,0,0,0,70,0,0,0,2,0,0,ARS,MID,51
18,Edward Nketiah,5,2,1,411,0,0,1,36,0,0,ARS,FWD,53
19,Emile Smith Rowe,3,2,5,1438,0,0,9,74,0,0,ARS,MID,42
20,Bukayo Saka,8,5,5,2554,0,0,8,114,0,1,ARS,MID,51
21,Matteo Guendouzi,0,0,0,0,0,0,0,0,0,0,ARS,MID,47
22,Gabriel Teodoro Martinelli Silva,0,2,1,582,0,0,4,36,0,0,ARS,MID,49
23,William Saliba,0,0,0,0,0,0,0,0,0,0,ARS,DEF,40
24,Mathew Ryan,0,0,0,1260,0,0,3,37,0,1,ARS,GKP,41
25,Willian Borges Da Silva,9,1,7,1398,0,0,3,78,0,0,ARS,MID,75
26,Gabriel Magalhães,7,2,0,1996,0,0,6,78,1,2,ARS,DEF,49
27,Daniel Ceballos Fernández,7,0,4,1609,0,0,6,62,0,4,ARS,MID,47
28,Mohamed Naser El Sayed Elneny,3,1,0,1538,0,0,5,50,0,3,ARS,MID,42
29,Matt Macey,0,0,0,0,0,0,0,0,0,0,ARS,GKP,40
30,Rúnar Alex Rúnarsson,0,0,0,15,0,0,0,1,0,0,ARS,GKP,44
31,Thomas Partey,0,0,2,1529,0,0,6,47,0,5,ARS,MID,49
32,Martin Ødegaard,3,1,2,861,0,0,3,40,0,0,ARS,MID,56
33,Miguel Azeez,0,0,0,0,0,0,0,0,0,0,ARS,MID,45
34,Emiliano Martínez,27,0,0,3420,0,1,15,186,0,1,AVL,GKP,53
35,Tom Heaton,0,0,0,0,0,0,0,0,0,0,AVL,GKP,45
36,Ahmed El Mohamady,4,0,0,833,0,0,3,33,0,2,AVL,DEF,42
37,Henri Lansbury,0,0,0,0,0,0,0,0,0,0,AVL,MID,43
38,Neil Taylor,0,0,0,15,0,0,0,-1,0,1,AVL,DEF,42
39,Jed Steer,0,0,0,0,0,0,0,0,0,0,AVL,GKP,39
40,Conor Hourihane,3,1,1,225,0,0,2,20,0,0,AVL,MID,59
41,José Ignacio Peleteiro Romallo,0,0,0,0,0,0,0,0,0,0,AVL,MID,59
42,Ørjan Nyland,0,0,0,0,0,0,0,0,0,0,AVL,GKP,40
43,Bjorn Engels,0,0,0,0,0,0,0,0,0,0,AVL,DEF,44
44,Jack Grealish,13,6,12,2183,0,0,12,135,0,6,AVL,MID,75
45,John McGinn,2,3,7,3330,0,0,14,114,0,12,AVL,MID,55
46,Kortney Hause,3,1,0,630,0,0,3,32,0,2,AVL,DEF,44
47,Mahmoud Ahmed Ibrahim Hassan,3,2,1,1157,0,0,6,56,0,0,AVL,MID,52
48,Tyrone Mings,8,2,2,3194,0,0,14,128,1,4,AVL,DEF,54
49,Matt Targett,9,0,4,3404,0,0,16,138,0,7,AVL,DEF,50
50,James Bree,0,0,0,0,0,0,0,0,0,0,AVL,DEF,45
51,Marvelous Nakamba,1,0,1,747,0,0,4,27,0,3,AVL,MID,43
52,Anwar El Ghazi,13,10,0,1604,0,0,5,111,0,2,AVL,MID,52
53,Ezri Konsa Ngoyo,8,2,0,3195,0,0,12,119,0,3,AVL,DEF,46
54,Frédéric Guilbert,0,0,0,0,0,0,0,0,0,0,AVL,DEF,43
55,Wesley Moraes,0,0,0,15,0,0,0,3,0,0,AVL,FWD,60
56,Mbwana Samatta,0,0,0,0,0,0,0,0,0,0,AVL,FWD,59
57,Keinan Davis,0,1,1,265,0,0,1,23,0,0,AVL,FWD,42
58,Indiana Vassilev,0,0,0,0,0,0,0,0,0,0,AVL,FWD,43
59,Douglas Luiz Soares de Paulo,0,0,2,2781,0,0,12,72,1,8,AVL,MID,48
60,Ross Barkley,4,3,2,1566,0,0,8,76,0,0,AVL,MID,58
61,Matthew Cash,8,0,2,2373,0,0,11,89,1,6,AVL,DEF,50
62,Ollie Watkins,18,14,9,3328,1,0,14,168,1,2,AVL,FWD,63
63,Bertrand Traoré,7,7,7,2315,0,0,11,135,0,1,AVL,MID,58
64,Jacob Ramsey,0,0,0,611,0,0,2,28,0,0,AVL,MID,45
65,Morgan Sanson,0,0,0,288,0,0,1,10,0,3,AVL,MID,55
66,Kaine Hayden,0,0,0,0,0,0,0,0,0,0,AVL,MID,45
67,Carney Chukwuemeka,0,0,0,18,0,0,0,2,0,0,AVL,MID,45
68,Jaden Philogene-Bidace,0,0,0,1,0,0,0,1,0,0,AVL,MID,44
69,Glenn Murray,0,0,0,0,0,0,0,0,0,0,BHA,FWD,48
70,Adam Lallana,2,1,1,1584,0,0,5,58,0,0,BHA,MID,62
71,Pascal Groß,11,3,8,2479,1,0,10,116,0,3,BHA,MID,58
72,Shane Duffy,0,0,0,0,0,0,0,0,0,0,BHA,DEF,43
73,Davy Pröpper,0,0,0,209,0,0,0,9,0,0,BHA,MID,47
74,Aaron Mooy,0,0,0,0,0,0,0,0,0,0,BHA,MID,50
75,Dan Burn,1,1,0,2057,0,0,6,64,0,5,BHA,DEF,42
76,Lewis Dunk,17,5,0,2932,0,0,11,130,2,5,BHA,DEF,48
77,Martín Montoya,0,0,0,0,0,0,0,0,0,0,BHA,DEF,45
78,Florin Andone,0,0,0,0,0,0,0,0,0,0,BHA,FWD,48
79,Solomon March,6,2,2,1670,0,0,7,69,0,0,BHA,MID,49
80,Adam Webster,0,1,0,2594,0,0,9,85,0,4,BHA,DEF,43
81,Joël Veltman,10,1,1,2280,0,0,9,96,0,3,BHA,DEF,43
82,Neal Maupay,12,8,2,2508,1,0,10,105,1,1,BHA,FWD,58
83,Leandro Trossard,15,5,6,2602,0,0,12,132,0,2,BHA,MID,55
84,Alireza Jahanbakhsh,0,0,1,520,0,0,1,24,0,3,BHA,MID,54
85,José Izquierdo,0,0,0,8,0,0,0,1,0,0,BHA,MID,55
86,Matthew Clarke,0,0,0,0,0,0,0,0,0,0,BHA,DEF,44
87,Ben White,5,0,0,3192,0,0,12,104,1,3,BHA,DEF,45
88,Bernardo Fernandes da Silva Junior,0,0,0,205,0,0,0,5,0,0,BHA,DEF,39
89,Yves Bissouma,2,1,0,3112,0,0,11,77,1,8,BHA,MID,44
90,Tariq Lamptey,2,1,3,887,0,0,2,35,1,2,BHA,DEF,46
91,Aaron Connolly,2,2,1,783,0,0,1,38,0,0,BHA,FWD,52
92,Steven Alzate,3,1,0,892,0,0,5,35,0,2,BHA,MID,41
93,Alexis Mac Allister,3,1,1,1108,0,0,5,48,0,1,BHA,MID,53
94,Christian Walton,0,0,0,0,0,0,0,0,0,0,BHA,GKP,40
95,Jason Steele,0,0,0,0,0,0,0,0,0,0,BHA,GKP,39
96,Jayson Molumby,0,0,0,1,0,0,0,1,0,0,BHA,MID,45
97,Andi Zeqiri,0,0,0,164,0,0,0,9,0,0,BHA,FWD,50
98,Danny Welbeck,15,6,4,1541,1,0,6,89,0,0,BHA,FWD,55
99,Robert Sánchez,8,0,0,2430,0,0,10,101,0,2,BHA,GKP,45
100,Percy Tau,0,0,1,101,0,0,0,7,0,0,BHA,MID,49
101,Jakub Moder,0,0,0,643,0,0,2,21,0,0,BHA,MID,50
102,Reda Khadra,0,0,0,4,0,0,0,1,0,0,BHA,MID,45
103,Teddy Jenks,0,0,0,0,0,0,0,0,0,0,BHA,MID,45
104,Max Sanders,0,0,0,0,0,0,0,0,0,0,BHA,MID,45
105,Jensen Weir,0,0,0,0,0,0,0,0,0,0,BHA,MID,45
106,Thomas McGill,0,0,0,0,0,0,0,0,0,0,BHA,GKP,39
107,Michal Karbownik,0,0,0,0,0,0,0,0,0,0,BHA,DEF,45
108,Moisés Caicedo,0,0,0,0,0,0,0,0,0,0,BHA,MID,50
109,Dale Stephens,0,0,0,257,0,0,0,8,0,1,BUR,MID,42
110,James Tarkowski,9,1,0,3240,0,0,11,109,0,6,BUR,DEF,53
111,Phil Bardsley,0,0,0,273,0,0,0,2,0,2,BUR,DEF,44
112,Erik Pieters,5,0,3,1260,0,0,3,50,0,1,BUR,DEF,43
113,Jack Cork,0,0,0,1350,0,0,4,33,0,2,BUR,MID,50
114,Kevin Long,1,0,0,636,0,0,1,14,0,2,BUR,DEF,43
115,Jay Rodriguez,2,1,3,1248,0,0,4,54,0,3,BUR,FWD,57
116,Ashley Barnes,7,3,0,1324,0,0,6,52,0,4,BUR,FWD,60
117,Ben Mee,7,2,0,2693,0,0,10,102,0,3,BUR,DEF,47
118,Ashley Westwood,5,3,4,3410,0,0,11,112,0,7,BUR,MID,53
119,Johann Berg Gudmundsson,3,2,0,1358,0,0,3,50,0,2,BUR,MID,54
120,Chris Wood,16,12,3,2741,0,0,9,138,0,0,BUR,FWD,66
121,Matthew Lowton,6,1,1,3060,0,0,10,103,0,5,BUR,DEF,44
122,Matej Vydra,2,3,2,1359,0,0,3,62,0,0,BUR,FWD,48
123,Ben Gibson,0,0,0,0,0,0,0,0,0,0,BUR,DEF,39
124,Robbie Brady,3,1,1,1047,0,0,7,44,0,3,BUR,MID,50
125,Nick Pope,20,0,0,2880,0,0,11,144,0,1,BUR,GKP,55
126,Charlie Taylor,5,0,2,2425,0,0,8,83,0,1,BUR,DEF,44
127,Josh Brownhill,0,0,1,2812,0,0,10,74,0,2,BUR,MID,49
128,Bailey Peacock-Farrell,0,0,0,360,0,0,0,3,0,0,BUR,GKP,40
129,Dwight McNeil,8,2,5,3068,0,0,11,113,0,1,BUR,MID,57
130,Jimmy Dunne,0,1,0,270,0,0,0,9,0,1,BUR,DEF,38
131,Bobby Thomas,0,0,0,0,0,0,0,0,0,0,BUR,DEF,39
132,Josh Benson,0,0,0,260,0,0,1,10,0,0,BUR,MID,44
133,Anthony Driscoll-Glennon,0,0,0,0,0,0,0,0,0,0,BUR,DEF,39
134,Mace Goodridge,0,0,0,0,0,0,0,0,0,0,BUR,MID,45
135,Will Norris,0,0,0,180,0,0,0,3,0,0,BUR,GKP,40
136,Max Thompson,0,0,0,0,0,0,0,0,0,0,BUR,FWD,45
137,Lewis Richardson,0,0,0,3,0,0,0,2,0,0,BUR,FWD,45
138,Anthony Mancini,0,0,0,0,0,0,0,0,0,0,BUR,MID,44
139,Joel Mumbongo,0,0,0,37,0,0,0,3,0,1,BUR,FWD,45
140,Richard Nartey,0,0,0,0,0,0,0,0,0,0,BUR,DEF,40
141,Willy Caballero,0,0,0,90,0,0,0,1,0,0,CHE,GKP,46
142,César Azpilicueta,12,1,2,2187,0,0,13,113,1,5,CHE,DEF,58
143,Olivier Giroud,6,4,0,740,0,0,4,47,0,1,CHE,FWD,67
144,Marcos Alonso,5,2,1,958,0,0,5,57,0,2,CHE,DEF,56
145,Jorge Luiz Frello Filho,15,7,2,2006,2,0,14,114,0,2,CHE,MID,47
146,Mateo Kovacic,0,0,1,1809,0,0,9,54,0,4,CHE,MID,53
147,Antonio Rüdiger,9,1,0,1710,0,0,11,93,0,0,CHE,DEF,47
148,Kurt Zouma,6,5,0,2027,0,0,9,108,0,3,CHE,DEF,53
149,Emerson Palmieri dos Santos,0,0,0,88,0,0,1,7,0,0,CHE,DEF,47
150,Kepa Arrizabalaga,5,0,0,585,0,0,2,26,0,1,CHE,GKP,47
151,N'Golo Kanté,0,0,2,2140,0,0,10,62,0,7,CHE,MID,49
152,Hakim Ziyech,8,2,3,1164,0,0,10,70,0,3,CHE,MID,79
153,Andreas Christensen,9,0,0,1371,0,0,8,61,1,2,CHE,DEF,47
154,Timo Werner,7,6,12,2598,0,0,13,128,0,2,CHE,FWD,92
155,Tammy Abraham,8,6,2,1031,0,0,5,69,0,0,CHE,FWD,71
156,Christian Pulisic,3,4,3,1731,0,0,7,82,0,2,CHE,MID,83
157,Mason Mount,16,6,7,2887,0,0,14,147,0,2,CHE,MID,73
158,Fikayo Tomori,0,0,0,45,0,0,0,0,0,0,CHE,DEF,47
159,Callum Hudson-Odoi,2,2,3,1050,0,0,6,59,0,0,CHE,MID,57
160,Reece James,15,1,3,2367,0,0,9,112,0,3,CHE,DEF,51
161,Billy Gilmour,0,0,0,259,0,0,1,8,0,0,CHE,MID,43
162,Benjamin Chilwell,11,3,6,2286,0,0,12,139,0,3,CHE,DEF,59
163,Thiago Thiago,10,2,0,1935,0,0,10,92,1,3,CHE,DEF,56
164,Kai Havertz,3,4,6,1512,0,0,8,91,0,2,CHE,MID,83
165,Edouard Mendy,8,0,0,2745,0,1,16,140,0,2,CHE,GKP,53
166,Karlo Ziger,0,0,0,0,0,0,0,0,0,0,CHE,GKP,40
167,Faustino Anjorin,0,0,0,0,0,0,0,0,0,0,CHE,MID,45
168,Valentino Livramento,0,0,0,0,0,0,0,0,0,0,CHE,DEF,40
169,Michy Batshuayi,2,2,2,717,0,0,2,41,0,0,CRY,FWD,57
170,Gary Cahill,6,1,1,1800,0,0,4,53,0,3,CRY,DEF,45
171,Wayne Hennessey,0,0,0,0,0,0,0,0,0,0,CRY,GKP,43
172,Mamadou Sakho,0,0,0,275,0,0,0,4,0,0,CRY,DEF,44
173,Vicente Guaita,15,0,0,3330,0,1,8,124,0,2,CRY,GKP,48
174,James Tomkins,2,0,0,551,0,0,2,18,0,1,CRY,DEF,44
175,James McArthur,3,0,2,1465,0,0,4,45,0,3,CRY,MID,52
176,James McCarthy,0,0,0,816,0,0,2,26,0,1,CRY,MID,43
177,Christian Benteke,14,10,2,1808,0,0,5,106,1,1,CRY,FWD,55
178,Cheikhou Kouyaté,2,1,0,3121,0,0,8,82,0,4,CRY,MID,48
179,Joel Ward,6,0,1,2255,0,0,7,66,0,5,CRY,DEF,43
180,Martin Kelly,0,0,0,1,0,0,0,1,0,0,CRY,DEF,41
181,Connor Wickham,0,0,0,0,0,0,0,0,0,0,CRY,FWD,44
182,Andros Townsend,8,1,5,2250,0,0,7,94,0,0,CRY,MID,55
183,Luka Milivojevic,3,1,1,2357,1,0,7,63,1,8,CRY,MID,56
184,Patrick van Aanholt,5,0,2,1775,0,0,4,54,0,2,CRY,DEF,54
185,Jordan Ayew,2,1,4,2086,0,0,6,70,0,4,CRY,FWD,56
186,Wilfried Zaha,11,11,4,2612,0,0,6,136,0,6,CRY,MID,71
187,Jeffrey Schlupp,3,2,3,1415,0,0,5,65,0,3,CRY,MID,53
188,Max Meyer,0,0,0,0,0,0,0,0,0,0,CRY,MID,47
189,Jairo Riedewald,4,2,0,1810,0,0,4,64,0,4,CRY,MID,44
190,Nathan Ferguson,0,0,0,0,0,0,0,0,0,0,CRY,DEF,38
191,Tyrick Mitchell,5,1,2,1710,0,0,4,58,0,1,CRY,DEF,38
192,Brandon Pierrick,0,0,0,0,0,0,0,0,0,0,CRY,MID,43
193,Scott Dann,1,1,1,1350,0,0,2,39,0,1,CRY,DEF,42
194,Eberechi Eze,17,4,8,2555,0,0,6,125,0,3,CRY,MID,58
195,Sam Woods,0,0,0,0,0,0,0,0,0,0,CRY,DEF,40
196,Ryan Inniss,0,0,0,0,0,0,0,0,0,0,CRY,DEF,40
197,Nathaniel Clyne,0,0,1,1145,0,0,2,28,0,2,CRY,DEF,45
198,Stephen Henderson,0,0,0,0,0,0,0,0,0,0,CRY,GKP,40
199,Jack Butland,0,0,0,90,0,0,0,2,0,0,CRY,GKP,45
200,Jean-Philippe Mateta,2,1,0,215,0,0,0,15,0,0,CRY,FWD,53
201,Reece Hannam,0,0,0,0,0,0,0,0,0,0,CRY,DEF,40
202,Jesurun Rak-Sakyi,0,0,0,0,0,0,0,0,0,0,CRY,MID,45
203,Fabian Delph,0,0,0,260,0,0,0,8,0,1,EVE,MID,48
204,Gylfi Sigurdsson,13,6,5,2244,1,0,10,122,0,2,EVE,MID,68
205,Jonas Lössl,0,0,0,0,0,0,0,0,0,0,EVE,GKP,43
206,Seamus Coleman,4,0,3,1607,0,0,8,81,0,0,EVE,DEF,49
207,Cenk Tosun,0,0,0,44,0,0,0,4,0,1,EVE,FWD,60
208,Bernard Anício Caldeira Duarte,1,1,0,447,0,0,2,21,0,2,EVE,MID,57
209,Lucas Digne,18,0,9,2681,0,0,9,120,1,2,EVE,DEF,62
210,Michael Keane,13,3,1,2989,0,0,11,127,0,4,EVE,DEF,50
211,Jordan Pickford,8,0,0,2742,0,0,10,114,0,1,EVE,GKP,48
212,André Filipe Tavares Gomes,0,0,1,1559,0,0,5,48,0,3,EVE,MID,53
213,Alex Iwobi,1,1,3,1530,0,0,5,65,0,0,EVE,MID,59
214,Jonjoe Kenny,0,0,0,78,0,0,0,5,0,0,EVE,DEF,43
215,Jean-Philippe Gbamin,0,0,0,11,0,0,0,1,0,0,EVE,MID,50
216,Yerry Mina,7,2,0,1936,0,0,6,79,0,2,EVE,DEF,55
217,Tom Davies,1,0,1,1417,0,0,5,47,0,3,EVE,MID,52
218,Dominic Calvert-Lewin,21,16,6,2871,0,0,11,165,0,3,EVE,FWD,75
219,Mason Holgate,4,1,0,2286,0,0,9,80,0,9,EVE,DEF,48
220,Richarlison de Andrade,18,7,6,2862,0,0,11,123,1,4,EVE,FWD,77
221,João Virgínia,0,0,0,47,0,0,0,2,0,0,EVE,GKP,43
222,Anthony Gordon,0,0,0,87,0,0,0,3,0,0,EVE,MID,43
223,Moise Kean,0,0,0,13,0,0,0,2,0,0,EVE,FWD,57
224,Jarrad Branthwaite,0,0,0,0,0,0,0,0,0,0,EVE,DEF,39
225,Allan Marques Loureiro,0,0,0,2050,0,0,7,47,0,6,EVE,MID,52
226,James Rodríguez,11,6,5,1763,0,0,5,101,0,4,EVE,MID,77
227,Abdoulaye Doucouré,2,2,3,2443,0,0,9,80,0,6,EVE,MID,51
228,Niels Nkounkou,0,0,0,80,0,0,0,2,0,1,EVE,DEF,40
229,Ben Godfrey,7,0,2,2683,0,0,11,100,0,4,EVE,DEF,51
230,Robin Olsen,3,0,0,630,0,0,2,25,0,1,EVE,GKP,45
231,Ellis Simms,0,0,0,0,0,0,0,0,0,0,EVE,FWD,45
232,Tyler Onyango,0,0,0,0,0,0,0,0,0,0,EVE,MID,45
233,Joshua King,0,0,0,138,0,0,0,11,0,0,EVE,FWD,50
234,Kyle John,0,0,0,0,0,0,0,0,0,0,EVE,DEF,40
235,Nathan Broadhead,0,0,0,2,0,0,0,1,0,0,EVE,MID,45
236,Ryan Astley,0,0,0,0,0,0,0,0,0,0,EVE,DEF,40
237,Harry Tyrer,0,0,0,0,0,0,0,0,0,0,EVE,GKP,40
238,Reece Welch,0,0,0,0,0,0,0,0,0,0,EVE,DEF,40
239,Isaac Price,0,0,0,0,0,0,0,0,0,0,EVE,MID,45
240,Ruben Loftus-Cheek,0,1,0,1962,0,0,11,66,0,3,FUL,MID,59
241,Fabricio Agosto Ramírez,0,0,0,0,0,0,0,0,0,0,FUL,GKP,39
242,Kevin McDonald,0,0,0,0,0,0,0,0,0,0,FUL,MID,47
243,Maxime Le Marchand,0,0,0,122,0,0,0,1,0,2,FUL,DEF,41
244,Stefan Johansen,0,0,0,0,0,0,0,0,0,0,FUL,MID,47
245,Tom Cairney,2,1,1,758,0,0,1,27,0,2,FUL,MID,52
246,Tim Ream,0,0,0,630,0,0,0,10,0,0,FUL,DEF,42
247,Anthony Knockaert,0,0,0,0,0,0,0,0,0,0,FUL,MID,50
248,Michael Hector,0,0,0,262,0,0,0,0,0,2,FUL,DEF,41
249,Cyrus Christie,0,0,0,0,0,0,0,0,0,0,FUL,DEF,42
250,Neeskens Kebano,0,0,0,116,0,0,0,6,0,0,FUL,MID,47
251,Bobby Decordova-Reid,6,5,3,2367,0,0,9,88,0,7,FUL,FWD,53
252,Joe Bryan,2,1,1,663,0,0,0,27,0,2,FUL,DEF,45
253,Marcus Bettinelli,0,0,0,0,0,0,0,0,0,0,FUL,GKP,43
254,Aleksandar Mitrović,7,3,3,1389,1,0,1,63,0,3,FUL,FWD,55
255,Alfie Mawson,0,0,0,0,0,0,0,0,0,0,FUL,DEF,43
256,Marek Rodák,0,0,0,180,0,0,0,2,0,0,FUL,GKP,43
257,Ivan Ricardo Neves Abreu Cavaleiro,4,3,0,2465,1,0,7,85,0,2,FUL,MID,53
258,Josh Onomah,0,0,0,369,0,0,0,13,0,1,FUL,MID,46
259,Jean Michaël Seri,0,0,0,0,0,0,0,0,0,0,FUL,MID,46
260,Aboubakar Kamara,0,0,0,307,0,0,0,8,1,1,FUL,MID,48
261,André-Frank Zambo Anguissa,4,0,3,2581,0,0,6,76,0,6,FUL,MID,44
262,Zeze Steven Sessegnon,0,0,0,0,0,0,0,0,0,0,FUL,DEF,43
263,Harrison Reed,0,0,3,2243,0,0,9,69,0,5,FUL,MID,44
264,Antonee Robinson,1,0,0,2159,0,0,5,57,1,4,FUL,DEF,44
265,Mario Lemina,3,1,1,1696,0,0,3,55,0,5,FUL,MID,45
266,Alphonse Areola,9,0,0,3240,0,0,9,124,0,2,FUL,GKP,45
267,Kenny Tete,3,0,1,1477,0,0,5,50,0,3,FUL,DEF,43
268,Denis Odoi,0,0,0,270,0,0,0,1,0,1,FUL,DEF,42
269,Ademola Lookman,8,4,4,2746,1,0,10,107,0,5,FUL,MID,47
270,Ola Aina,8,2,1,2664,0,0,8,102,0,3,FUL,DEF,43
271,Joachim Andersen,7,1,1,2729,0,0,9,93,1,6,FUL,DEF,45
272,Tosin Adarabioyo,11,0,1,2953,0,0,9,100,0,1,FUL,DEF,45
273,Terence Kongolo,0,0,0,90,0,0,0,2,0,0,FUL,DEF,43
