,name,bonus,goals,assists,minutes,penalties_missed,penalties_saved,clean_sheets,points,reds,yellows,team,position,cost
452,Edinson Cavani,14,10,4,1364,0,0,4,99,0,4,MUN,FWD,80
453,Facundo Pellistri,0,0,0,0,0,0,0,0,0,0,MUN,MID,52
454,Lee Grant,0,0,0,0,0,0,0,0,0,0,MUN,GKP,40
455,Amad Diallo,0,0,1,165,0,0,0,8,0,0,MUN,MID,54
456,Shola Shoretire,0,0,0,9,0,0,0,2,0,0,MUN,MID,44
457,Nathan Bishop,0,0,0,0,0,0,0,0,0,0,MUN,GKP,40
458,Anthony Elanga,2,1,0,155,0,0,0,11,0,0,MUN,MID,45
459,Hannibal Mejbri,0,0,0,8,0,0,0,1,0,0,MUN,MID,45
460,William Fish,0,0,0,1,0,0,0,1,0,0,MUN,DEF,40
461,Joseph Willock,5,8,0,1210,1,0,4,79,0,1,NEW,MID,49
462,Andy Carroll,3,1,1,380,0,0,1,30,0,1,NEW,FWD,51
463,Jonjo Shelvey,2,1,3,2616,0,0,6,74,0,7,NEW,MID,53
464,Matt Ritchie,5,0,5,1347,0,0,3,52,0,2,NEW,MID,49
465,Federico Fernández,6,0,0,2080,0,0,5,53,0,4,NEW,DEF,47
466,Ciaran Clark,2,1,0,1890,0,0,3,46,0,3,NEW,DEF,45
467,Karl Darlow,6,0,0,2250,0,1,4,80,0,3,NEW,GKP,49
468,Martin Dubravka,6,0,0,1170,0,0,3,48,0,0,NEW,GKP,48
469,Florian Lejeune,0,0,0,0,0,0,0,0,0,0,NEW,DEF,43
470,Jamaal Lascelles,3,2,0,1625,0,0,2,44,0,4,NEW,DEF,42
471,Dwight Gayle,3,1,1,501,0,0,0,31,0,0,NEW,FWD,59
472,Christian Atsu,0,0,0,0,0,0,0,0,0,0,NEW,MID,52
473,Paul Dummett,2,1,0,1254,0,0,3,40,0,2,NEW,DEF,44
474,Javier Manquillo,0,0,0,822,0,0,3,28,0,1,NEW,DEF,42
475,Emil Krafth,0,1,1,1286,0,0,5,45,0,4,NEW,DEF,42
476,Fabian Schär,1,1,0,1255,0,0,2,30,1,4,NEW,DEF,48
477,DeAndre Yedlin,0,0,0,435,0,0,1,13,0,0,NEW,DEF,43
478,Isaac Hayden,0,0,0,1942,0,0,4,40,0,8,NEW,MID,46
479,Rolando Aarons,0,0,0,0,0,0,0,0,0,0,NEW,MID,48
480,Allan Saint-Maximin,5,3,5,1554,0,0,7,85,0,0,NEW,MID,52
481,Miguel Almirón,8,4,2,2426,0,0,5,97,0,3,NEW,MID,56
482,Joelinton Cássio Apolinário de Lira,5,4,2,1979,0,0,3,74,0,3,NEW,FWD,57
483,Yoshinori Muto,0,0,0,0,0,0,0,0,0,0,NEW,FWD,48
484,Kelland Watts,0,0,0,0,0,0,0,0,0,0,NEW,DEF,39
485,Sean Longstaff,1,0,1,1405,0,0,2,41,0,2,NEW,MID,46
