,name,no_games,avg_assists,last_assists,avg_bonus,last_bonus,avg_bps,last_bps,avg_clean_sheets,last_clean_sheets,avg_creativity,last_creativity,avg_element_code,last_element_code,avg_end_cost,last_end_cost,avg_goals_conceded,last_goals_conceded,avg_goals_scored,last_goals_scored,avg_ict_index,last_ict_index,avg_influence,last_influence,avg_minutes,last_minutes,avg_own_goals,last_own_goals,avg_penalties_missed,last_penalties_missed,avg_penalties_saved,last_penalties_saved,avg_red_cards,last_red_cards,avg_saves,last_saves,avg_start_cost,last_start_cost,avg_threat,last_threat,avg_total_points,last_total_points,avg_yellow_cards,last_yellow_cards
0,Wayne Hennessey,11,0.09090909090909091,0,2.5454545454545454,0,172.8181818181818,0,3.272727272727273,0,3.7363636363636363,0.0,20066.0,20066,43.0,43,27.363636363636363,0,0.0,0,15.590909090909092,0.0,152.12727272727273,0.0,1471.909090909091,0,0.0,0,0.0,0,0.2727272727272727,0,0.0,0,55.72727272727273,0,44.09090909090909,45,0.0,0.0,53.81818181818182,0,0.36363636363636365,0
0,Mamadou Sakho,8,0.25,0,7.375,0,275.25,33,4.125,0,21.887500000000003,1.6,40784.0,40784,47.75,44,21.125,8,0.375,0,21.012499999999996,4.5,165.75,36.6,1331.75,275,0.0,0,0.0,0,0.0,0,0.125,0,0.0,0,50.625,45,22.0,6.0,48.625,4,0.75,0
0,Vicente Guaita,3,0.0,0,13.0,15,553.3333333333334,639,8.333333333333334,8,0.0,0.0,40836.0,40836,46.666666666666664,48,43.0,64,0.0,0,69.86666666666666,82.2,698.1999999999999,819.4,2744.6666666666665,3330,0.3333333333333333,0,0.0,0,0.3333333333333333,1,0.0,0,94.0,107,48.333333333333336,50,0.0,0.0,114.0,124,1.6666666666666667,2
0,James Tomkins,13,0.5384615384615384,0,3.076923076923077,2,205.46153846153845,97,4.538461538461538,2,13.86153846153846,11.4,49413.0,49413,43.84615384615385,44,27.153846153846153,12,0.9230769230769231,0,25.88461538461539,14.1,171.50769230769225,101.2,1710.923076923077,551,0.0,0,0.0,0,0.0,0,0.15384615384615385,0,0.0,0,46.15384615384615,45,72.92307692307692,29.0,58.07692307692308,18,3.5384615384615383,1
0,James McArthur,10,2.5,2,4.8,3,272.7,228,5.6,4,176.35000000000002,202.2,50471.0,50471,48.4,52,33.8,26,2.3,0,60.27,55.2,242.95999999999998,285.2,2156.4,1465,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.5,55,183.9,65.0,78.2,45,4.8,3
0,James McCarthy,12,1.4166666666666667,0,3.1666666666666665,0,127.66666666666667,129,4.0,2,37.94166666666667,87.2,50472.0,50472,46.0,43,29.833333333333332,15,1.0833333333333333,0,9.799999999999999,20.9,44.98333333333334,112.2,1738.1666666666667,816,0.08333333333333333,0,0.0,0,0.0,0,0.08333333333333333,0,0.0,0,49.166666666666664,45,14.833333333333334,10.0,54.333333333333336,26,4.0,1
0,Christian Benteke,9,2.7777777777777777,2,12.11111111111111,14,210.44444444444446,338,5.666666666666667,5,166.03333333333333,236.5,54861.0,54861,71.44444444444444,55,35.77777777777778,34,9.11111111111111,10,87.58888888888889,177.7,201.7555555555556,512.6,2009.2222222222222,1808,0.0,0,0.5555555555555556,0,0.0,0,0.4444444444444444,1,0.0,0,72.77777777777777,55,513.0,1030.0,100.11111111111111,106,4.0,1
0,Cheikhou Kouyaté,7,2.142857142857143,0,3.142857142857143,2,388.14285714285717,438,8.714285714285714,8,124.79999999999998,103.0,55037.0,55037,49.142857142857146,48,43.857142857142854,56,2.0,1,61.0,81.3,320.7999999999999,574.8,2674.1428571428573,3121,0.0,0,0.0,0,0.0,0,0.14285714285714285,0,0.0,0,51.42857142857143,50,165.0,134.0,86.71428571428571,82,4.142857142857143,4
0,Joel Ward,9,0.8888888888888888,1,4.888888888888889,6,314.22222222222223,353,5.555555555555555,7,76.81111111111112,118.2,55494.0,55494,44.333333333333336,43,35.111111111111114,43,0.4444444444444444,0,32.0,51.3,208.26666666666665,366.8,2180.3333333333335,2255,0.1111111111111111,0,0.0,0,0.0,0,0.0,0,0.0,0,45.55555555555556,45,34.111111111111114,28.0,66.33333333333333,66,3.5555555555555554,5
0,Martin Kelly,12,0.5,0,1.0833333333333333,0,124.16666666666667,3,2.5833333333333335,0,22.03333333333333,0.0,58786.0,58786,42.75,41,15.0,0,0.0,0,14.033333333333331,0.2,101.81666666666666,2.2,983.9166666666666,1,0.16666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,45.833333333333336,45,16.166666666666668,0.0,30.166666666666668,1,1.1666666666666667,0
